Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-4.07696484222422E-05,0.022519682157935,0.208053859288305,0,0,0,2.6545367242346,0.0283595874842368,3.9795937321472E-05,2.52963999151071E-06,0.0550270445941382,0.00030862665869005,0.0330392069237774,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/chassis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/chassis.STL,,ChassisBodyWorkingAssembly-1;DiffWorkingAssembly-1;SuspensionWorkingAssembly-1/0102_01_Crossbar-1;SuspensionWorkingAssembly-1/CH23_0101_06_ConnectorPlateSpacer-2;SuspensionWorkingAssembly-1/CH23_0101_06_ConnectorPlateSpacer-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg,0.00390384763690586,0.0720956846040544,0.498331979923236,0,0,0,1.25561043369653,0.00654422338267773,-0.00027326319409336,-0.000555482097613206,0.00569188177881393,-0.00168373564898548,0.00170040442773973,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/left_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/left_leg.STL,,SuspensionWorkingAssembly-1/CH23_0101_22_StraightLegFront-2;SuspensionWorkingAssembly-1/CH23_0101_14_StraightLeg-2;SuspensionWorkingAssembly-1/Angled Plate - Back Left-2;SuspensionWorkingAssembly-1/Angled Plate - Front Left-2;SuspensionWorkingAssembly-1/Angled Plate - Front Right-2;SuspensionWorkingAssembly-1/Angled Plate - Back Right-2;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-8;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-7;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-5;SuspensionWorkingAssembly-1/Offset Block-3;SuspensionWorkingAssembly-1/Offset Block-4;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-6;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_21_SuspensionClampPlate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_09_HousingPart1-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_11_HousingPart2-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_21_SuspensionClampPlate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_09_HousingPart1-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_11_HousingPart2-2,Origin_left_leg_to_chassis,,left_leg_to_chassis,fixed,-0.38386,0.45934,0.042036,-2.8999,-1.4752,-1.5708,chassis,0,0,0,,,,,,,,,,,,
front_left_pivot,-0.0509407651052965,0.13077941108793,0.0509500333461809,0,0,0,0.373462136464724,0.000656196625101315,0.000140646150151138,0.000153193809110994,0.000479765011851179,-0.000139836484181228,0.00065621231398329,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_left_pivot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_left_pivot.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0105_02_SlewDrive_3.0-1/CH22_0405_OutputAdaptor-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0402_PivotLeg-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0202_Rotor Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/11_Input Housing V2-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/04_Ring Gear-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/04_Ring Gear-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/01_Output Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/13_Mounting Plate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0201_Stator-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/CH22_0104_08_MotorCap-1,Origin_front_left_pivot_to_leg,Axis10 <SuspensionWorkingAssembly-1>,front_left_pivot_to_leg,revolute,-0.077405,-0.001432,0.024083,0.087743,-0.54404,1.5438,left_leg,0,1,0,1,1,0,3.142,,,,,,,,
front_left_wheel,-7.90010942331998E-05,-8.38656282198258E-08,-1.81213573036132E-08,0,0,0,1.22729251567473,0.02286962568937,-4.31784658527673E-09,5.89330276934634E-09,0.0147660079502287,-4.52024563569672E-09,0.0147659923233673,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_left_wheel.STL,1,0.0823529411764706,0.670588235294118,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_left_wheel.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_Bike Wheel-1/06_Tread-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-3/00_Bike Wheel-1/01_Hub-1,Origin_front_left_wheel_to_pivot,,front_left_wheel_to_pivot,continuous,0,0.21,0,2.618,0.7854,0,front_left_pivot,1,0,0,,,,,,,,,,,,
back_left_pivot,-0.0509408166867233,0.130779437625862,0.0509500072636369,0,0,0,0.373462104979822,0.000656196850300581,0.000140645996248605,0.000153193713279004,0.000479765057344051,-0.000139836701004895,0.000656212398774585,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_left_pivot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_left_pivot.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0105_02_SlewDrive_3.0-1/CH22_0405_OutputAdaptor-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0402_PivotLeg-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0202_Rotor Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0201_Stator-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/13_Mounting Plate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/11_Input Housing V2-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/04_Ring Gear-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/04_Ring Gear-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_VersaPlanetary Assembly-1/01_Output Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/CH22_0104_08_MotorCap-1,Origin_back_left_pivot_to_leg,,back_left_pivot_to_leg,fixed,-0.0093548,0.20893,0.87956,0.10777,-0.54314,1.5292,left_leg,0,1,0,1,1,0,3.142,,,,,,,,
back_left_wheel,-7.90010944764497E-05,-8.38537775882386E-08,-1.80987823616974E-08,0,0,0,1.22729251567558,0.0228696256902818,-3.82951496475569E-09,6.17978728298194E-09,0.0147660079213766,-4.50491704790529E-09,0.0147659923485163,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_left_wheel.STL,1,0.0823529411764706,0.670588235294118,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_left_wheel.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_Bike Wheel-1/06_Tread-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-4/00_Bike Wheel-1/01_Hub-1,Origin_back_left_wheel_to_pivot,,back_left_wheel_to_pivot,continuous,0,0.21,0,2.618,0.7854,0,back_left_pivot,1,0,0,,,,,,,,,,,,
right_leg,-0.00226247207990352,0.0536510585884346,0.418418287043508,0,0,0,1.25561019982895,0.00660069180651663,-0.000109823095066691,-0.000224910827633487,0.00621829784486593,-0.000686960429080017,0.00111752715569272,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/right_leg.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/right_leg.STL,,SuspensionWorkingAssembly-1/CH23_0101_14_StraightLeg-1;SuspensionWorkingAssembly-1/CH23_0101_22_StraightLegFront-1;SuspensionWorkingAssembly-1/Angled Plate - Front Left-1;SuspensionWorkingAssembly-1/Angled Plate - Back Left-1;SuspensionWorkingAssembly-1/Angled Plate - Back Right-1;SuspensionWorkingAssembly-1/Angled Plate - Front Right-1;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-3;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-2;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-1;SuspensionWorkingAssembly-1/CH23_0101_03_CrossTubeConnectingPlate-4;SuspensionWorkingAssembly-1/Offset Block-1;SuspensionWorkingAssembly-1/Offset Block-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_21_SuspensionClampPlate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_09_HousingPart1-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_11_HousingPart2-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_21_SuspensionClampPlate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_11_HousingPart2-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0105_02_SlewDrive_3.0-1/CH22_0105_09_HousingPart1-1,Origin_right_leg_to_chassis,,right_leg_to_chassis,fixed,0.38331,-0.45807,0.025086,-2.8999,-1.5117,1.5708,chassis,0,0,0,,,,,,,,,,,,
front_right_pivot,-0.050941153605312,0.130779305327821,0.0509497328852276,0,0,0,0.373462300173231,0.00065619172242815,0.000140644647979565,0.000153193489397229,0.000479764220517861,-0.000139835686905675,0.000656207197300882,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_right_pivot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_right_pivot.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0105_02_SlewDrive_3.0-1/CH22_0405_OutputAdaptor-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0402_PivotLeg-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0202_Rotor Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0201_Stator-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/13_Mounting Plate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/11_Input Housing V2-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/04_Ring Gear-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/04_Ring Gear-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_VersaPlanetary Assembly-1/01_Output Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/CH22_0104_08_MotorCap-1,Origin_front_right_pivot,,front_right_pivot,revolute,-0.0090629,0.21252,0.87795,0.087635,-0.54127,1.507,right_leg,0,1,0,1,1,0,3.142,,,,,,,,
front_right_wheel,-7.90011156019399E-05,-8.29144279346217E-08,-1.92727805936599E-08,0,0,0,1.22729252965748,0.0228696257037192,-4.18223690885389E-09,6.0815409301606E-09,0.0147660079444848,-4.52063863426444E-09,0.0147659923102889,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_right_wheel.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/front_right_wheel.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_Bike Wheel-1/01_Hub-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-2/00_Bike Wheel-1/06_Tread-2,Origin_front_right_wheel_to_pivot,,front_right_wheel_to_pivot,continuous,0,0.21,0,2.618,0.7854,0,front_right_pivot,1,0,0,,,,,,,,,,,,
back_right_pivot,-0.0509411508758535,0.130779305337637,0.0509497321900407,0,0,0,0.373462300161072,0.000656191723164332,0.000140644648251543,0.000153193489469593,0.000479764220630439,-0.000139835686988376,0.000656207198097132,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_right_pivot.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://FullWorkingAssembly.SLDASM/meshes/back_right_pivot.STL,,SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0105_02_SlewDrive_3.0-1/CH22_0405_OutputAdaptor-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0402_PivotLeg-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0202_Rotor Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/CH23_0200_U7 Assembly-1/CH23_0201_Stator-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/13_Mounting Plate-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/11_Input Housing V2-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/04_Ring Gear-2;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/04_Ring Gear-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/00_VersaPlanetary Assembly-1/01_Output Housing-1;SuspensionWorkingAssembly-1/CH22_0400_PivotModule-1/CH22_0104_08_MotorCap-1,Origin_back_right_pivot_to_leg,,back_right_pivot_to_leg,revolute,-0.077405,0.0014344,0.024083,0.087596,-0.54128,1.507,right_leg,0,1,0,1,1,0,3.142,,,,,,,,
