voltage,current
-105904,-1000
-14464,-800
100000,-600
129488,-400
10000,-200
40000,0
70000,200
-166024,400
-135768,600
20000,800
50000,1000
60000,800
-55000,600
-45000,400
-50000,200
-40000,0
-30000,-200
129488,-400
139808,-600
0,-800
10000,-1000
-104000,-800
100000,-600
110000,-400
-10000,-200
20000,0
50000,200
-45000,400
-154000,600
0,800
30000,1000
40000,800
-70000,600
-65000,400
70000,200
-60000,0
-50000,-200
110000,-400
120000,-600
-20000,-800
-10000,-1000
20000,-800
60000,-600
90000,-400
-30000,-200
0,0
30000,200
-65000,400
-35000,600
-20000,800
10000,1000
20000,800
-70000,600
-75000,400
50000,200
60000,0
-70000,-200
90000,-400
100000,-600
-40000,-800
-30000,-1000
0,-800
180000,-600
70000,-400
-50000,-200
-20000,0
10000,200
-154000,400
-55000,600
100000,800
-10000,1000
0,800
-110000,600
-120000,400
30000,200
40000,0
50000,-200
70000,-400
100000,-600
-60000,-800
-65000,-1000
0,-800
-70000,-600
-110000,-400
30000,200
20000,0
-30000,-200
180000,-400
60000,-600
-128000,-800
0,-800
185000,-600
-70000,-200
-40000,0
10000,200
-154000,400
-139000,600
10000,200
20000,0
30000,-200
185000,-400
60000,-600
-128000,-800
